prompt,response,originality,elaboration
paperclip,hanging garlands,2.5,
paperclip,move stone create sparks,3,
paperclip,zipper pull accessory,2.5,
paperclip,curtain tieback,3,
paperclip,grommet,2.5,
paperclip,earphone jack organizer,3,
paperclip,stick piece paper frame,2,
paperclip,zipper broken,2.5,
paperclip,pencil case,2,
paperclip,food skewer,3,
paperclip,removing piece food teeth,2,
paperclip,make miniature figures,3,
paperclip,money clamp,1,
paperclip,stirring stick,2.5,
paperclip,zipper jacket,2.5,
paperclip,hang several paper clips together make chain,2,
paperclip,handle make score marks painting,3,
paperclip,remove pebble under shoe,2.5,
paperclip,baking cookie shapes,3.3,
paperclip,scratching hardtoreach places,2.5,
paperclip,tapping,2,
paperclip,paper fastener,1,
paperclip,steal car,3,
paperclip,throw others,2,
paperclip,holding eyeglasses,2,
paperclip,cocktail stirrer,3,
paperclip,paper shredder,3,
paperclip,temporary fix button,2,
paperclip,bend make ring,2,
paperclip,staple hole punch,2.5,
paperclip,make shapes  example heart,2,
paperclip,pencil holder,2,
paperclip,seal envelope,1,
paperclip,headphone cord organizer,2.5,
paperclip,cord management,2,
paperclip,pick small items,2,
paperclip,tie paper together,1,
paperclip,participate trading game,2.5,
paperclip,tools,2,
paperclip,chopsticks,3,
paperclip,phone support,2.5,
paperclip,close already opened paper bags kitchen,2,
paperclip,dirty keyboard,2.5,
paperclip,hold earring back,2,
paperclip,fishing net,3,
paperclip,note taking,1,
paperclip,holding papers together,1,
paperclip,bicycle spoke repair,3,
paperclip,puzzle piece connector,2.5,
paperclip,clean phone charging point,2.5,
paperclip,guitar,3,
paperclip,performing magic tricks,3,
paperclip,improvised weapon,2.5,
paperclip,flower staker,3,
paperclip,picking without touching,2,
paperclip,distract child,2.5,
paperclip,reset button,3,
paperclip,hanger,2,
paperclip,earring hoop,2.5,
paperclip,clotheslooping,2,
paperclip,barrette hair,2.5,
paperclip,phone camera lens protector,3,
paperclip,make wallet,2,
paperclip,paper currency clip,2,
paperclip,tape measure,3,
paperclip,sewing needle guide,2.5,
paperclip,unbend stapler,2,
paperclip,straightening bent nails,2,
paperclip,tie shoes,2.5,
paperclip,chain paper clips,1,
paperclip,binder fastener,1,
paperclip,organize cordswires,2,
paperclip,shoelace aglet,3,
paperclip,frame hang art,2.5,
paperclip,shoe polish brush holder,3,
paperclip,hold buttons remote control,2,
paperclip,put glass indicate glass,3,
paperclip,tear paper,1,
paperclip,keep trouser button closed,2,
paperclip,garland holder,3,
paperclip,shapes,2,
paperclip,shoe lace hook,2.5,
paperclip,floating test,3,
paperclip,beer opener,2.5,
paperclip,hold,1,
paperclip,necklace,2,
paperclip,open bottle,2,
paperclip,highlighting text,2,
paperclip,phone charger connector,3,
paperclip,bullying,2,
paperclip,keep bra straps together wearing top bare shoulders,3,
paperclip,party decoration,2.5,
paperclip,hanger christmas baubles,2.5,
paperclip,current conductor,3,
paperclip,unfold pick lock,2,
paperclip,clothes,2,
paperclip,dollar bill folder,2,
paperclip,holding wires,1,
paperclip,button,2,
paperclip,wire scraper,2.5,
paperclip,repairing eyeglass frames,2.5,
paperclip,paperholder,1,
paperclip,toe ring,3,
paperclip,commercial,2,
paperclip,mark beginning roll tape lose,2,
paperclip,hold phone charger together,2,
paperclip,nail art tool,2.5,
paperclip,put finger,2,
paperclip,straighten bent pins,2,
paperclip,christmas ornament hook,2.5,
paperclip,car scratches,2.5,
paperclip,hold pages,1,
paperclip,prick dried glue cap open,2.5,
paperclip,stir stick,2.5,
paperclip,make figures,2,
paperclip,keep hair face,2,
paperclip,pick locks,2,
paperclip,macrame,3,
paperclip,canfloss,2.5,
paperclip,trade cooler,2.5,
paperclip,parts technology,2,
paperclip,zipper pull keychain,3,
paperclip,picture display,2,
paperclip,bend mini sculpture,2.5,
paperclip,party favor,2.5,
paperclip,crafting supplies,2,
paperclip,chalk holder,3,
paperclip,stir drink,3,
paperclip,find magnet,2.5,
paperclip,mean computer,2,
paperclip,make holes,2,
paperclip,curl hair,2.5,
paperclip,attach several paper clips together make necklace jewelry,2,
paperclip,test,1,
paperclip,secure cables,2,
paperclip,makeshift tweezers,2.5,
paperclip,joke for confusion,2.5,
paperclip,hang tea towel,2.5,
paperclip,monkey feeder,3,
paperclip,hang curtains,2.5,
paperclip,cling,1,
paperclip,sewing needle substitute,2.5,
paperclip,operate,2,
paperclip,fasten clothes,2,
paperclip,break balloon,3,
paperclip,put lipstick,3,
paperclip,music instrument,3,
paperclip,thread organizer,2.5,
paperclip,connecting wire,2,
paperclip,scratch figures in wood,2.5,
paperclip,art tool,2,
paperclip,fold several paper clips apart steel wire bind report,3,
paperclip,phone holder,2.5,
paperclip,letter sealer,1,
paperclip,hair band braiding,2.5,
paperclip,straightening bent objects,2,
paperclip,eyeglasses screwdriver,3,
paperclip,stick piece paper depict,1,
paperclip,unclog clogged tube,2.5,
paperclip,opening small locks,2,
paperclip,take ride,3,
paperclip,stab death,2,
paperclip,stirrer,2.5,
paperclip,put on refrigerator,2,
paperclip,wire clip,2,
paperclip,ring finger,2,
paperclip,create artistic object many paper clips,2,
paperclip,digging sand,3,
paperclip,straight pin,2,
paperclip,modeling clay,3,
paperclip,creating mazes,3,
paperclip,breaking window,2,
paperclip,belt loop fastener,2.5,
paperclip,shoe cleaner,2.5,
paperclip,paper clip  small part sheet webcam cover,3,
paperclip,event ticket clip,2,
paperclip,make smiley face,2,
paperclip,cord wrap,2,
paperclip,makeshift safety pin,2,
paperclip,clothing fastener,2,
paperclip,food clip,2,
paperclip,hang wire,2,
paperclip,making shirt,2,
paperclip,close box full,2,
paperclip,scratcher cats,2.5,
paperclip,attach paper together,1,
paperclip,separate herbs stems,3,
paperclip,paper doll,3,
paperclip,nail cleaner,2.5,
paperclip,cable separator,2.5,
paperclip,coat button,2.5,
paperclip,details in clay,3,
paperclip,remove plastic packaging products,2,
paperclip,drain unclogger,3,
paperclip,tightening loose screws,2.5,
paperclip,bag clip,2,
paperclip,close diaper,3,
paperclip,make puppet,3,
paperclip,socket tester,3,
paperclip,attach strings,1,
paperclip,pagemark book,1,
paperclip,spoon,3,
paperclip,open envelope,1,
paperclip,decoder secret messages,2.5,
paperclip,comb hair,2,
paperclip,play,2,
paperclip,object miniperformance,3,
paperclip,hang art,2,
paperclip,old,1,
paperclip,opening locked doors,2,
paperclip,bike spoke reflector,3,
paperclip,paper clip jewelry,2,
paperclip,chains,1,
paperclip,hang as a chain,2,
paperclip,remove tight screws,2.5,
paperclip,crafting,2,
paperclip,stick drawing hang,2,
paperclip,easy make,2,
paperclip,instead button,2,
paperclip,fasten bra strap,2.5,
paperclip,photo frames,2.5,
paperclip,remove dirt ears,2.5,
paperclip,scratch world map else,3,
paperclip,create instagram account photos around world,3.3,
paperclip,seal food keep fresh,2.5,
paperclip,attach magnet,2,
paperclip,lock opener,2,
paperclip,emergency tool,2,
paperclip,sushi stick,3.3,
paperclip,holders,1,
paperclip,holding plants place,2.5,
paperclip,keep dried flowers memories together,2.5,
paperclip,scratch open scratch cards,2.5,
paperclip,piercer,2,
paperclip,di desoldering aid,3,
paperclip,puncture balloon,2,
paperclip,trade up,2.5,
paperclip,earring stud back,2.5,
paperclip,beads,2.5,
paperclip,hair rubber band,2.5,
paperclip,fishing tool,2.5,
paperclip,sculpture material,2.5,
paperclip,chopping teeth,3,
paperclip,secure memory card,2.5,
paperclip,bird toy,2.5,
paperclip,clothes threader,2,
paperclip,mini clothes hanger,2.5,
paperclip,make fishing hook,2.5,
paperclip,stringing peanuts,3,
paperclip,paint small dots,2.5,
paperclip,stirring drinks,3,
paperclip,organize arts crafts,2,
paperclip,dart,2.5,
paperclip,jewelry clasps,2,
paperclip,mini sling,3,
paperclip,openbreak lock,2,
paperclip,knitting needle holder,3,
paperclip,pantyhose repair,2.5,
paperclip,zipper  piece grabbing broken,2.5,
paperclip,replacing missing buttons,2,
paperclip,removing staples,1,
paperclip,hold guitar pick,2.5,
paperclip,remove dirt small places,2.5,
paperclip,hoist bucket,3,
paperclip,fold metal wire release lock,2.5,
paperclip,zipper opener,3,
paperclip,cleaning small crevices,2.5,
paperclip,practice throwing,2.5,
paperclip,cardboard,2,
paperclip,think,1,
paperclip,surprises,2,
paperclip,hold for sewing,2,
paperclip,strengthening clay works art,3,
paperclip,fly fishing hook,2.5,
paperclip,get rid food teeth,2,
paperclip,open sim card tray iphone,2.5,
paperclip,stationery ink,2.5,
paperclip,curtain,2.5,
paperclip,glasses repair tool,2.5,
paperclip,making tool,2,
paperclip,keep flowers together,2,
paperclip,to count in math lessons,,
paperclip,hook christmas ball,2.5,
paperclip,pushing cuticles,2.5,
paperclip,make measuring tape,3,
paperclip,pushpin,2,
paperclip,hang small,1,
paperclip,puzzle piece,2.5,
paperclip,earring,2,
paperclip,guitar strap end pin,3.3,
paperclip,art material,2,
paperclip,christmas tree tree topper,3,
paperclip,survival tool,2.5,
paperclip,toothpicks,2.5,
paperclip,paper clip staple remover,2,
paperclip,guitar string replacement,3,
paperclip,mini cleaner brush,2.5,
paperclip,dissecting mediumlarge insect,3,
paperclip,place magnetic surface,2,
paperclip,sim card eject tool,2.5,
paperclip,scratch itch,2,
paperclip,creating air holes packaging,3,
paperclip,scrape away,2,
paperclip,slide hair,2.5,
paperclip,know understand correctly  assume,2,
paperclip,making holes  example  paper,2,
paperclip,keep laces together,2,
paperclip,pricker,2,
paperclip,chain art,2,
paperclip,light switch pull,3,
paperclip,bind paper together,1,
paperclip,paint seal opener,2.5,
paperclip,knitting needle repair,3,
paperclip,making bracelet,2,
paperclip,cord strap,2,
paperclip,food pick,2.5,
paperclip,wobbly chair support,3,
paperclip,melt else,2,
paperclip,sporting good,3,
paperclip,catapult,3,
paperclip,creating paper animals,3.3,
paperclip,scratch tool lottery tickets,2.5,
paperclip,opening bottles,2,
paperclip,hook wall,2,
paperclip,binder repair,2,
paperclip,repair zippers,2,
paperclip,circuit component,3,
paperclip,hold paper together,1,
paperclip,learning tool,2,
paperclip,timestamp marker,3,
paperclip,fixing glasses,2,
paperclip,lampshade hanger,3,
paperclip,remove splinter,2,
paperclip,knife sharpener,3,
paperclip,secure pieces fabric together,1,
paperclip,connection,1,
paperclip,keep pens together,1,
paperclip,throw air,2,
paperclip,badge holder,2,
paperclip,fishing with magnetic fishing rod,3,
paperclip,hang poster,2,
paperclip,sheets,1,
paperclip,pick magnet,2.5,
paperclip,make face paper clips,2,
paperclip,threading wire,2,
paperclip,pick guitar,3,
paperclip,remove dirt from places hard to reach,2.5,
paperclip,phone screen protector,3,
paperclip,book page holder,1,
paperclip,drop one ground every 5 meters find way back,3,
paperclip,medal,2,
paperclip,paint scratcher art,2.5,
paperclip,guitarstringtightening,3,
paperclip,cord sorting,2,
paperclip,sculpting material,3,
paperclip,badge,2,
paperclip,destroy phone screen,3,
paperclip,row,2,
paperclip,guitar string silencer,3,
paperclip,fasten papers,1,
paperclip,metal detector,3,
paperclip,keep food packaging together,2,
paperclip,hide in ground,2.5,
paperclip,attach bread bag,2,
paperclip,scissors clog unclogger,3,
paperclip,keyringlinking,2,
paperclip,jewelry accessory,2,
paperclip,thumbtack notice board,2,
paperclip,temporary bracelet,2,
paperclip,currency fastener,2,
paperclip,coat hook,2,
paperclip,replace button,2,
paperclip,holding files together,1,
paperclip,hook keys,2,
paperclip,brush,2.5,
paperclip,note attachment,1,
paperclip,unlatching doors,2,
paperclip,christmas ball hook,3,
paperclip,scratch a message in wood,2.5,
paperclip,poke hole paper,1,
paperclip,tie bracelet,2,
paperclip,connect stems plants together,3,
paperclip,sim card compartment opener,2.5,
paperclip,paper clip game,,
paperclip,put somewhere reminder still,2,
paperclip,straightening wrinkled fabric,2.5,
paperclip,making clothes,2,
paperclip,earbud connector,2.5,
paperclip,tattoo pen,3,
paperclip,creating 3d shapes,2.5,
paperclip,sock holder,2.5,
paperclip,paper guide writing,2,
paperclip,ripping pages,2,
paperclip,rope clip,2.5,
paperclip,art object,2,
paperclip,cutting,2,
paperclip,sd card ejector,3,
paperclip,magnetic clasp,2,
paperclip,mending clothes big,2,
paperclip,scientific tool,2.5,
paperclip,connect electric circuit,3,
paperclip,replace zipper,2,
paperclip,eye glass holder,2.5,
paperclip,unstick zippers,2,
paperclip,thin rod get rig,2,
paperclip,cheap material,1,
paperclip,keep photos together,1,
paperclip,usb extension,3,
paperclip,make doll put show nephew,3,
paperclip,shoe lace fix,2.5,
paperclip,making figures,2,
paperclip,strengthen nose airplane flies better,3.3,
paperclip,operation,2.5,
paperclip,papercurling,2,
paperclip,clean lint,2.5,
paperclip,make bracelet iron wire,2,
paperclip,soldering wire holder,3,
paperclip,push,2,
paperclip,impromptu needle,2.5,
paperclip,toothpaste dispenser,3.3,
paperclip,miniature tools,3,
paperclip,weaving tool,2.5,
paperclip,thread guide,2.5,
paperclip,make bracelet,2,
paperclip,holding pieces paper together,1,
paperclip,fix broken zipper,2,
paperclip,scratch cd,2,
paperclip,make necklace bracelet paper clips,2,
paperclip,ring napkin,2.5,
paperclip,card holder,2,
paperclip,tiny screwdriver,3,
paperclip,lock,2,
paperclip,picture prop,2.5,
paperclip,computer repair,2.5,
paperclip,hair styling tool,2.5,
paperclip,replacing hook christmas bauble,2.5,
paperclip,bookmark,1,
paperclip,curtain pull,2.5,
paperclip,paper airplane part,2.5,
paperclip,make small statue paper clips,3,
paperclip,fishing hook,2.5,
paperclip,collectible,2,
paperclip,wire fastener,2,
paperclip,tuning guitar strings,3,
paperclip,lancing device,2.5,
paperclip,come games,2,
paperclip,hold flowers together,2,
paperclip,unsticking drawers,2,
paperclip,cleaning narrow space,2.5,
paperclip,hold receipts together,1,
paperclip,tiny antenna,3,
paperclip,make flower attaching paper clips together,2,
paperclip,cable management,2,
paperclip,work,1,
paperclip,button hole,2.5,
paperclip,could give paper clip certain value instead money,3,
paperclip,trail,2.5,
paperclip,clothing snag fixer,2,
paperclip,tie cords,2,
paperclip,calculator stand,3,
paperclip,bag zipper repair,2.5,
paperclip,play game,2.5,
paperclip,lace connector,2.5,
paperclip,pick food  fork,2.5,
paperclip,removing food teeth,2,
paperclip,bracelet charm,2,
paperclip,skeleton model,3,
paperclip,hook coats,2,
paperclip,creating hooks,2,
paperclip,note pulling,1,
paperclip,conduct current,3,
paperclip,thread,2,
paperclip,binderclasping,1,
paperclip,make artistic sculptures,2.5,
paperclip,hold strands hair,2,
paperclip,secure cords,1,
paperclip,earwax,3,
paperclip,tiny sculpture,2.5,
paperclip,link,1,
paperclip,unsticking stuck items,2,
paperclip,make zipper lever ,3,
paperclip,unclogging printer,2.5,
paperclip,cord bundle,2,
paperclip,crafts,2,
paperclip,hang picture frames,2,
paperclip,bundling papers,1,
paperclip,threader,2.5,
paperclip,scratch tool art,2.5,
paperclip,starting fire,2.5,
paperclip,pierce,2,
paperclip,tear veins,3,
paperclip,holding pages place painting,2,
paperclip,mini chain,2,
paperclip,opening package,2,
paperclip,keep bread closed,2,
paperclip,make string paper clips,2,
paperclip,clay figures,3,
paperclip,burn it,2.5,
paperclip,pointing stick,2,
paperclip,make braceletnecklace bigger,2,
paperclip,paint,2.5,
paperclip,magic tricks,3,
paperclip,reset products pressing small buttons front,3,
paperclip,zipper breaks  pull,2.5,
paperclip,kind armor,3,
paperclip,hair parting,2.5,
paperclip,clothing snag remover,2,
paperclip,belt,2.5,
paperclip,trousers,2,
paperclip,toothpick,2,
paperclip,weighing unit,2.5,
paperclip,make hair clip,2,
paperclip,remove sd sim card phone,2.5,
paperclip,opening tight jar lids,2.5,
paperclip,telephone cord organizer,2.5,
paperclip,remove dirt,2,
paperclip,defeated,2,
paperclip,short circuit,3,
paperclip,gym equipment locker,2.5,
paperclip,buttonfixing,2,
paperclip,template,2.5,
paperclip,brushes,2.5,
paperclip,document marker,1,
paperclip,button in clothes,2,
paperclip,attach leaves,2,
paperclip,art projects,2,
paperclip,hang clothes,2,
