,task,model,temp,rep,original_response,pid,original_response_cleaned,response,invalid,jump_GT,response_len,response_num_words,previous_original_response,previous_response,order,category,SS,jump_cat,jump_SS,jump,originality,jump_profile
13,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,monkey,1,monkey,monkey,,,6,1,orangutan,orangutan,13,4,0.8661057949066162,1,0,0,,2
14,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,chimpanzee,1,chimpanzee,chimpanzee,,,10,1,monkey,monkey,14,4,0.8803109526634216,0,0,0,,2
15,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,baboon,1,baboon,baboon,,,6,1,chimpanzee,chimpanzee,15,4,0.8457642197608948,0,0,0,,2
16,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,tarsier,1,tarsier,tarsier,,,7,1,baboon,baboon,16,9,0.8354088068008423,1,0,0,,2
17,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,sloth,1,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.8101240396499634,0,0,0,,2
18,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,koala,1,koala,koala,,,5,1,sloth,sloth,18,5,0.8006200790405273,1,0,0,,2
19,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,kangaroo rat,1,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.8190097808837891,0,0,0,,2
29,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,giraffe,2,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.8501284122467041,1,0,0,,0
30,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,zebra,2,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.8193547129631042,1,0,0,,0
31,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,rhinoceros,2,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.8270968794822693,0,0,0,,0
32,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,hippopotamus,2,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.8446728587150574,0,0,0,,0
33,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,kangaroo,2,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.8196361064910889,1,0,0,,0
34,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,tiger,2,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
35,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,lion,2,lion,lion,,,4,1,tiger,tiger,7,1,0.8430523872375488,1,0,0,,1
36,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,leopard,2,leopard,leopard,,,7,1,lion,lion,8,1,0.8669106364250183,0,0,0,,1
37,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,cheetah,2,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.8507751822471619,0,0,0,,1
38,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,panda,2,panda,panda,,,5,1,cheetah,cheetah,10,6,0.7964297533035278,1,1,1,,2
39,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,gorilla,2,gorilla,gorilla,,,7,1,panda,panda,11,4,0.8292450904846191,1,0,0,,2
40,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,orangutan,2,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.8408963084220886,1,0,0,,2
41,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,monkey,2,monkey,monkey,,,6,1,orangutan,orangutan,13,4,0.8661057949066162,1,0,0,,2
42,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,chimpanzee,2,chimpanzee,chimpanzee,,,10,1,monkey,monkey,14,4,0.8803109526634216,0,0,0,,2
43,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,baboon,2,baboon,baboon,,,6,1,chimpanzee,chimpanzee,15,4,0.8457642197608948,0,0,0,,2
44,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,tarsier,2,tarsier,tarsier,,,7,1,baboon,baboon,16,9,0.8354088068008423,1,0,0,,2
45,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,sloth,2,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.8101240396499634,0,0,0,,2
46,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,koala,2,koala,koala,,,5,1,sloth,sloth,18,5,0.8006200790405273,1,0,0,,2
47,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,kangaroo rat,2,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.8190097808837891,0,0,0,,2
57,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,giraffe,3,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.8501284122467041,1,0,0,,0
58,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,zebra,3,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.8193547129631042,1,0,0,,0
59,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,rhinoceros,3,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.8270968794822693,0,0,0,,0
60,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,hippopotamus,3,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.8446728587150574,0,0,0,,0
61,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,kangaroo,3,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.8196361064910889,1,0,0,,0
62,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,tiger,3,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
63,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,lion,3,lion,lion,,,4,1,tiger,tiger,7,1,0.8430523872375488,1,0,0,,1
64,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,leopard,3,leopard,leopard,,,7,1,lion,lion,8,1,0.8669106364250183,0,0,0,,1
65,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,cheetah,3,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.8507751822471619,0,0,0,,1
66,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,panda,3,panda,panda,,,5,1,cheetah,cheetah,10,6,0.7964297533035278,1,1,1,,2
67,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,gorilla,3,gorilla,gorilla,,,7,1,panda,panda,11,4,0.8292450904846191,1,0,0,,2
68,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,orangutan,3,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.8408963084220886,1,0,0,,2
69,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,monkey,3,monkey,monkey,,,6,1,orangutan,orangutan,13,4,0.8661057949066162,1,0,0,,2
70,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,chimpanzee,3,chimpanzee,chimpanzee,,,10,1,monkey,monkey,14,4,0.8803109526634216,0,0,0,,2
71,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,baboon,3,baboon,baboon,,,6,1,chimpanzee,chimpanzee,15,4,0.8457642197608948,0,0,0,,2
72,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,tarsier,3,tarsier,tarsier,,,7,1,baboon,baboon,16,9,0.8354088068008423,1,0,0,,2
73,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,sloth,3,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.8101240396499634,0,0,0,,2
74,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,koala,3,koala,koala,,,5,1,sloth,sloth,18,5,0.8006200790405273,1,0,0,,2
75,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,kangaroo rat,3,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.8190097808837891,0,0,0,,2
85,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,giraffe,4,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.8501284122467041,1,0,0,,0
86,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,zebra,4,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.8193547129631042,1,0,0,,0
87,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,rhinoceros,4,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.8270968794822693,0,0,0,,0
88,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,hippopotamus,4,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.8446728587150574,0,0,0,,0
89,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,kangaroo,4,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.8196361064910889,1,0,0,,0
90,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,tiger,4,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
91,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,lion,4,lion,lion,,,4,1,tiger,tiger,7,1,0.8430523872375488,1,0,0,,1
92,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,leopard,4,leopard,leopard,,,7,1,lion,lion,8,1,0.8669106364250183,0,0,0,,1
93,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,cheetah,4,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.8507751822471619,0,0,0,,1
94,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,panda,4,panda,panda,,,5,1,cheetah,cheetah,10,6,0.7964297533035278,1,1,1,,2
95,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,gorilla,4,gorilla,gorilla,,,7,1,panda,panda,11,4,0.8292450904846191,1,0,0,,2
96,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,orangutan,4,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.8408963084220886,1,0,0,,2
97,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,monkey,4,monkey,monkey,,,6,1,orangutan,orangutan,13,4,0.8661057949066162,1,0,0,,2
98,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,chimpanzee,4,chimpanzee,chimpanzee,,,10,1,monkey,monkey,14,4,0.8803109526634216,0,0,0,,2
99,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,baboon,4,baboon,baboon,,,6,1,chimpanzee,chimpanzee,15,4,0.8457642197608948,0,0,0,,2
100,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,tarsier,4,tarsier,tarsier,,,7,1,baboon,baboon,16,9,0.8354088068008423,1,0,0,,2
101,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,sloth,4,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.8101240396499634,0,0,0,,2
102,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,koala,4,koala,koala,,,5,1,sloth,sloth,18,5,0.8006200790405273,1,0,0,,2
103,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,kangaroo rat,4,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.8190097808837891,0,0,0,,2
113,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,giraffe,5,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.8501284122467041,1,0,0,,0
114,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,zebra,5,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.8193547129631042,1,0,0,,0
115,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,rhinoceros,5,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.8270968794822693,0,0,0,,0
116,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,hippopotamus,5,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.8446728587150574,0,0,0,,0
117,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,kangaroo,5,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.8196361064910889,1,0,0,,0
118,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,tiger,5,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
119,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,lion,5,lion,lion,,,4,1,tiger,tiger,7,1,0.8430523872375488,1,0,0,,1
120,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,leopard,5,leopard,leopard,,,7,1,lion,lion,8,1,0.8669106364250183,0,0,0,,1
121,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,cheetah,5,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.8507751822471619,0,0,0,,1
122,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,panda,5,panda,panda,,,5,1,cheetah,cheetah,10,6,0.7964297533035278,1,1,1,,2
123,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,gorilla,5,gorilla,gorilla,,,7,1,panda,panda,11,4,0.8292450904846191,1,0,0,,2
124,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,orangutan,5,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.8408963084220886,1,0,0,,2
125,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,monkey,5,monkey,monkey,,,6,1,orangutan,orangutan,13,4,0.8661057949066162,1,0,0,,2
126,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,chimpanzee,5,chimpanzee,chimpanzee,,,10,1,monkey,monkey,14,4,0.8803109526634216,0,0,0,,2
127,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,baboon,5,baboon,baboon,,,6,1,chimpanzee,chimpanzee,15,4,0.8457642197608948,0,0,0,,2
128,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,tarsier,5,tarsier,tarsier,,,7,1,baboon,baboon,16,9,0.8354088068008423,1,0,0,,2
129,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,sloth,5,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.8101240396499634,0,0,0,,2
130,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,koala,5,koala,koala,,,5,1,sloth,sloth,18,5,0.8006200790405273,1,0,0,,2
131,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,kangaroo rat,5,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.8190097808837891,0,0,0,,2
141,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,tiger,6,tiger,tiger,,,5,1,lion,lion,1,6,0.8430523872375488,1,0,0,,0
142,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,elephant,6,elephant,elephant,,,8,1,tiger,tiger,2,9,0.818225085735321,1,0,0,,0
143,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,giraffe,6,giraffe,giraffe,,,7,1,elephant,elephant,3,14,0.8501284122467041,1,0,0,,0
144,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,zebra,6,zebra,zebra,,,5,1,giraffe,giraffe,4,9,0.8193547129631042,1,0,0,,0
145,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,hippopotamus,6,hippopotamus,hippopotamus,,,12,1,zebra,zebra,5,9,0.8119912147521973,0,0,0,,0
146,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,rhinoceros,6,rhinoceros,rhinoceros,,,10,1,hippopotamus,hippopotamus,6,9,0.8446728587150574,0,0,0,,0
147,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,leopard,6,leopard,leopard,,,7,1,rhinoceros,rhinoceros,7,1,0.8319723606109619,1,0,0,,0
148,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,gorilla,6,gorilla,gorilla,,,7,1,leopard,leopard,8,4,0.8610047698020935,1,0,0,,0
149,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,kangaroo,6,kangaroo,kangaroo,,,8,1,gorilla,gorilla,9,5,0.8375850915908813,1,0,0,,0
150,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,cheetah,6,cheetah,cheetah,,,7,1,kangaroo,kangaroo,10,1,0.7992145419120789,1,1,1,,1
151,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,panda,6,panda,panda,,,5,1,cheetah,cheetah,11,6,0.7964297533035278,1,1,1,,2
152,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,polar bear,6,polar bear,polar bear,,,10,2,panda,panda,12,6,0.8287485837936401,0,0,0,,2
153,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,brown bear,6,brown bear,brown bear,,,10,2,polar bear,polar bear,13,6,0.8605638742446899,0,0,0,,2
154,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,tiger shark,6,tiger shark,tiger shark,,,11,2,brown bear,brown bear,14,12,0.7425813674926758,1,1,1,,3
155,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,great white shark,6,great white shark,great white shark,,,17,3,tiger shark,tiger shark,15,12,0.8598012924194336,0,0,0,,3
156,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,crocodile,6,crocodile,crocodile,,,9,1,great white shark,great white shark,16,7,0.800581693649292,1,0,0,,3
157,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,alligator,6,alligator,alligator,,,9,1,crocodile,crocodile,17,7,0.9215419292449951,0,0,0,,3
158,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,snake,6,snake,snake,,,5,1,alligator,alligator,18,7,0.8545044660568237,0,0,0,,3
159,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,lizard,6,lizard,lizard,,,6,1,snake,snake,19,7,0.8561029434204102,0,0,0,,3
169,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,giraffe,7,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.8501284122467041,1,0,0,,0
170,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,zebra,7,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.8193547129631042,1,0,0,,0
171,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,rhinoceros,7,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.8270968794822693,0,0,0,,0
172,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,hippopotamus,7,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.8446728587150574,0,0,0,,0
173,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,kangaroo,7,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.8196361064910889,1,0,0,,0
174,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,tiger,7,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
175,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,lion,7,lion,lion,,,4,1,tiger,tiger,7,1,0.8430523872375488,1,0,0,,1
176,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,leopard,7,leopard,leopard,,,7,1,lion,lion,8,1,0.8669106364250183,0,0,0,,1
177,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,cheetah,7,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.8507751822471619,0,0,0,,1
178,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,hyena,7,hyena,hyena,,,5,1,cheetah,cheetah,10,9,0.8537253141403198,1,0,0,,1
179,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,crocodile,7,crocodile,crocodile,,,9,1,hyena,hyena,11,7,0.8363410234451294,1,0,0,,1
180,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,gorilla,7,gorilla,gorilla,,,7,1,crocodile,crocodile,12,4,0.8607040643692017,1,0,0,,1
181,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,orangutan,7,orangutan,orangutan,,,9,1,gorilla,gorilla,13,9,0.8408963084220886,1,0,0,,1
182,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,baboon,7,baboon,baboon,,,6,1,orangutan,orangutan,14,4,0.8424302935600281,1,0,0,,1
183,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,monkey,7,monkey,monkey,,,6,1,baboon,baboon,15,4,0.8885232210159302,0,0,0,,1
184,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,tarsier,7,tarsier,tarsier,,,7,1,monkey,monkey,16,9,0.8399527072906494,1,0,0,,1
185,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,sloth,7,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.8101240396499634,0,0,0,,1
186,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,armadillo,7,armadillo,armadillo,,,9,1,sloth,sloth,18,9,0.7873940467834473,0,1,0,,1
187,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,kangaroo rat,7,kangaroo rat,kangaroo rat,,,12,2,armadillo,armadillo,19,5,0.7816870808601379,1,1,1,,2
196,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,giraffe,8,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.8501284122467041,1,0,0,,0
197,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,zebra,8,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.8193547129631042,1,0,0,,0
198,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,rhinoceros,8,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.8270968794822693,0,0,0,,0
199,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,hippopotamus,8,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.8446728587150574,0,0,0,,0
200,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,kangaroo,8,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.8196361064910889,1,0,0,,0
201,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,tiger,8,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
202,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,lion,8,lion,lion,,,4,1,tiger,tiger,7,1,0.8430523872375488,1,0,0,,1
203,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,leopard,8,leopard,leopard,,,7,1,lion,lion,8,1,0.8669106364250183,0,0,0,,1
204,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,cheetah,8,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.8507751822471619,0,0,0,,1
205,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,panda,8,panda,panda,,,5,1,cheetah,cheetah,10,6,0.7964297533035278,1,1,1,,2
206,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,gorilla,8,gorilla,gorilla,,,7,1,panda,panda,11,4,0.8292450904846191,1,0,0,,2
207,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,orangutan,8,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.8408963084220886,1,0,0,,2
208,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,chimpanzee,8,chimpanzee,chimpanzee,,,10,1,orangutan,orangutan,13,4,0.8875705599784851,1,0,0,,2
209,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,baboon,8,baboon,baboon,,,6,1,chimpanzee,chimpanzee,14,4,0.8457642197608948,0,0,0,,2
210,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,monkey,8,monkey,monkey,,,6,1,baboon,baboon,15,4,0.8885232210159302,0,0,0,,2
211,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,tarsier,8,tarsier,tarsier,,,7,1,monkey,monkey,16,9,0.8399527072906494,1,0,0,,2
212,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,sloth,8,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.8101240396499634,0,0,0,,2
213,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,koala,8,koala,koala,,,5,1,sloth,sloth,18,5,0.8006200790405273,1,0,0,,2
214,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,kangaroo rat,8,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.8190097808837891,0,0,0,,2
226,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,giraffe,9,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.8501284122467041,1,0,0,,0
227,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,zebra,9,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.8193547129631042,1,0,0,,0
228,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,rhinoceros,9,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.8270968794822693,0,0,0,,0
229,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,hippopotamus,9,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.8446728587150574,0,0,0,,0
230,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,kangaroo,9,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.8196361064910889,1,0,0,,0
231,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,tiger,9,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
