prompt,response,originality,elaboration
brick,press buttons during corona,3,
brick,podium or stage,2,
brick,rustic serving tray,3,
brick,rubbing stone,2,
brick,paperholder,1.5,
brick,book end,1,
brick,building bee habitats,3,
brick,fireplace wall,1,
brick,miniature bookshelf,3,
brick,water tool,2,
brick,flatten wrinkled paper,2,
brick,art/sculpture,2,
brick,make sound for music and movies,3,
brick,planter raise,2,
brick,target practice,2,
brick,flattener,2,
brick,step stone,1,
brick,measure gravity ,3,
brick,headstone,1,
brick,terrace border,1,
brick,unconventional jewelry display,3,
brick,paths,1,
brick,hollow into a bed for hamster,3,
brick,chalk holder,3,
brick,dig,1,
brick,fortification,1,
brick,carpentry,2,
brick,shoe wiper,2,
brick,decorative wall panel,1,
brick,building pizza ovens,1.5,
brick,draw and colour,2,
brick,drainage layer,2,
brick,step exercise,2,
brick,snowman,2,
brick,red,1,
brick,natural insect repellent,3,
brick,"worship, personify as god",3,
brick,weight balloon anchors,2,
brick,ledge,1,
brick,laptop holder,2,
brick,hollow into a planter,3,
brick,send to space to show aliens how humans make buildings,3,
brick,music instrument,3,
brick,adjust sail position,3,
brick,veneer accent wall,2,
brick,break into pebbles,1,
brick,weight training dumbbell,1.5,
brick,phone holder,2,
brick,trivets,2,
brick,lining fountains ponds,1.7,
brick,colour paint,2,
brick,ornaments,2,
brick,warning signal,2,
brick,sound,2,
brick,prop for play,2,
brick,imaging,1,
brick,flower pot,2,
brick,homemade oven,2,
brick,cook,2,
brick,snow shoes,2,
brick,cheese platter,3,
brick,metaphor for support,2,
brick,water feature,2,
brick,create seating,1.5,
brick,breaking window,1,
brick,build garden shed,1,
brick,ball sport,2,
brick,bowling pins,2,
brick,throw ground,1,
brick,seating area,1,
brick,red colour streaks,2,
brick,pathway pavers,1,
brick,write a poem about it,2,
brick,paint art,2,
brick,fetch game for dog,3,
brick,weight support for wheels,1,
brick,dominoes ,2,
brick,bullet,1.4,
brick,unit measurement,2,
brick,make stepping stones,1,
brick,skateboard,2,
brick,keep door open,1,
brick,paints art,2,
brick,wall divider,1,
brick,paint palette,3,
brick,edging patio,1,
brick,build theater,1,
brick,spoon,3,
brick,baking brick,2,
brick,hit together,1,
brick,play,1.4,
brick,crush,2,
brick,creating lines,1.7,
brick,kill spider,2,
brick,stacked walls,1,
brick,support weight for wheels,1,
brick,tennis ball,1.4,
brick,write engrave,2,
brick,stove in sun,2,
brick,filter,3,
brick,smashing garlic spices,3,
brick,outdoor art projects,2,
brick,weathered photo background,2,
brick,"scaring, distracting",2,
brick,forming decorative elements,2,
brick,fill in hole in wall,1,
brick,filling,1,
brick,brickandmortar bank,2,
brick,sculpting medium,2,
brick,kill insects,2,
brick,mirror frame,3,
brick,paper diorama,3,
brick,make decoration,1,
brick,sculpture material,2,
brick,weight against wind for balloons,2,
brick,shelter reptiles,2.5,
brick,laying handkerchief,2,
brick,throwing police,1,
brick,shelter for insects,2,
brick,ground,1,
brick,weight workouts,1,
brick,birdbath,2,
brick,mould,1,
brick,shovel to dig,2,
brick,water conservation tool while flushing,3,
brick,making fire pits,1,
brick,rustic centerpiece,2,
brick,bbq grill,2,
brick,weight bicep curls,1,
brick,throwing weapon,1,
brick,making planters,1.7,
brick,cave,1.7,
brick,mouse trap weight,3,
brick,build path,1,
brick,substitute percussion instrument,3,
brick,furniture raiser,1,
brick,chimney,1,
brick,step stool,1,
brick,build bunker,1,
brick,standard candles place larger candles,3,
brick,pulverize,2,
brick,puzzle piece,3,
brick,earring,3,
brick,book support,1,
brick,facade,1,
brick,bookcase,2,
brick,art material,2,
brick,curb,1,
brick,fireplace divider,1,
brick,survival tool,2,
brick,animal shelters,2,
brick,"weight for balance, seesaw",2,
brick,build villa,1,
brick,layer,1,
brick,stone grill,2,
brick,protect campfire from wind,2,
brick,toilet seat,2,
brick,posture correction,3,
brick,fill well,1,
brick,drill weight,2,
brick,stool,1.7,
brick,photograph,2,
brick,building shops,1,
brick,outdoor table leg,1,
brick,anchoring helium balloons,3,
brick,hide clothes,2,
brick,cover hole,1,
brick,weight lifting,1,
brick,house foundation,1,
brick,catapult,2,
brick,oven thermometer,3,
brick,fireplace lining,1,
brick,file,1,
brick,sound insulation,2,
brick,knife sharpener,3,
brick,modular furniture,2,
brick,decorative wall,1,
brick,build vault,1,
brick,art installation piece,2,
brick,patio edging,1,
brick,cable management weight,3,
brick,tablecloth anchor,2,
brick,punch,1,
brick,maze,2,
brick,grill platform,2,
brick,stage,1,
brick,decorative sculpture,2,
brick,press,1,
brick,mnemonic for memory,3,
brick,outdoor art,2,
brick,pond surround,2,
brick,toy for children,2,
brick,medal,2,
brick,fireplaces,1,
brick,detergent,2,
brick,mold clay,2,
brick,sculpting material,2,
brick,world,1,
brick,make planter,2,
brick,gym equipment,2,
brick,"spread sand evenly, level",2,
brick,rebuild,1,
brick,measure weight,2,
brick,back support,1.7,
brick,goal post,2,
brick,hole in window,1,
brick,smashing garlic,2,
brick,plant protection,1.5,
brick,cooling element,3,
brick,lego,2,
brick,outdoor chess piece,3,
brick,brush,2,
brick,drainage material,1.5,
brick,grill base,2,
brick,outdoor fireplace,1,
brick,sculpt,2,
brick,soap holder,2,
brick,level ground,1,
brick,yoga block,2,
brick,measure,2,
brick,gun component,2,
brick,primitive mortar pestle,3,
brick,carving statue,2,
brick,switch on phone,1.4,
brick,part fireplace,1,
brick,baking stone,2,
brick,unique paint palette,3,
brick,art supplies,2,
brick,garden bench,1,
brick,cold frame builder,2,
brick,phone case,2,
brick,bricklaying construction,1,
brick,cutting,2,
brick,picture frame stand,3,
brick,design,2,
brick,destroy nails,1,
brick,castle,1,
brick,counterweight,1.5,
brick,heat block,1,
brick,steps,1,
brick,historical teaching tool,3,
brick,build office,1,
brick,brake weight for wheel,1.5,
brick,lay sidewalk,1,
brick,make sofa,2,
brick,weight pressing,1,
brick,clay composition,1,
brick,barrier,1,
brick,flatten clay,2,
brick,cuddle toy,3,
brick,steampunk jewelry,3,
brick,push,1,
brick,craft project base,2,
brick,build roof,1,
brick,hope,1,
brick,patio design,1,
brick,break to pieces,1,
brick,shelter,1,
brick,pizza ovens,2,
brick,decorativeitem,1,
brick,trade,1,
brick,road border,1,
brick,steamer lobster,3,
brick,cold frame anchor,2,
brick,coat hanger base,3,
brick,driveway,1,
brick,koi pond border,2,
brick,birdhouse base,2,
brick,bookmark,3,
brick,hammer substitute,2,
brick,ball,1,
brick,break wine bottles,2,
brick,hack,1,
brick,cold frame foundation,1,
brick,cable management,3,
brick,car increase,1,
brick,walkway paving,1,
brick,trail,1,
brick,colorful mosaic tile,2,
brick,brake pad,1.5,
brick,tabletop press,2,
brick,calculator stand,3,
brick,cracking nuts,2,
brick,step reaching,1,
brick,play game,1.4,
brick,picture frame base,2,
brick,balancing agent,2,
brick,rock paper scissors game,3,
brick,stack,1,
brick,brickbats,2,
brick,room accessory,1,
brick,decorative mosaic,2,
brick,test paint,2,
brick,beverage chiller,3,
brick,food press,3,
brick,foot warmer,2,
brick,make well,1,
brick,plant pot holder,2,
brick,smash window in emergency,1,
brick,grinder,2,
brick,elevation for getting tall,1,
brick,tie feet,1,
brick,bench construction,1,
brick,furniture elevation,1,
brick,stepping stools,1,
brick,heating element for oven,3,
brick,desk paperweight,1,
brick,heavy,1,
brick,road construction,1,
brick,adjective,1,
brick,miniature construction material,1,
brick,mouse pad,3,
brick,beehive,3,
brick,washboard,2,
brick,foot scrubber,3,
brick,paint,2,
brick,oven insulation,2,
brick,building retaining walls,1,
brick,community centers,1,
brick,reach something high by throwing,1.7,
brick,press meat,2,
brick,sharpen twig,3,
brick,wall hook anchor,2,
brick,engraving name,2,
brick,bump toe,1,
brick,construction work,1,
brick,build well,1,
brick,dolls,1.4,
brick,make steps,1,
brick,building ruins model landscapes,1,
brick,clean snow from shoes,2,
brick,lay garden,1,
brick,cracking coconuts,2,
brick,house number display,2,
brick,building streets,1,
brick,bob builder,1,
brick,snakes ladders piece,3,
brick,step,1,
brick,animal shelter,2,
brick,trophy,3,
brick,accent wall,1,
brick,art projects,2,
brick,paper model,3,
brick,art,2,
brick,stars,1.4,
brick,traction device tires,2,
brick,floor tile,1,
brick,garden sculpture,2,
brick,crush grapes and make wine,3,
brick,water depth estimator,3,
brick,baseball,1,
brick,brand name,2,
brick,shelf bracket,2,
brick,sharpening stone,3,
brick,creating soundproofing,2,
brick,throw from tree,1,
brick,make door,1,
brick,drawer,3,
brick,warming plate,3,
brick,bury,1,
brick,grind,2,
brick,grind herbs,3,
brick,sink in water by tying,2,
brick,furniture elevator,2,
brick,tray table,2,
brick,put,1,
brick,building garden house,1,
brick,home decoration,1,
brick,grinding,2,
brick,back yard,1,
brick,firepit,1,
brick,leave flower pot higher,1.7,
brick,flat,1,
brick,bookshelf,2,
brick,balcony,1,
brick,nameplate,3,
brick,puzzle,3,
brick,impromptu step stool,1.5,
brick,home décor,2,
brick,throw in riot,1,
brick,magnetic board,3,
brick,keep book open,2,
brick,child seat,1.7,
brick,fireproof safe,2,
brick,cover/close,1,
brick,toy phone,3,
brick,hot pack,3,
brick,tofu press,3,
brick,elevation ramp,1,
brick,furnace,1.7,
brick,chalkboarderaser,3,
brick,barbecue,2,
brick,furniture height increase,2,
brick,hiking training,2,
brick,microwave,3,
brick,base lamp,2,
brick,vases,2,
brick,pie crust weight,2,
brick,organiser,2,
brick,stabilize heavy object wobbling placing underneath,1,
brick,stress relief toy,2,
brick,outdoor step,1,
brick,kitchen backsplash,2,
brick,building blocks,1,
brick,joy,1,
brick,succulent planter,3,
brick,weight for throwing rope,2,
brick,stack turn table,2,
brick,shooting,1.4,
brick,scrape,2,
brick,chair leg,1,
brick,abrasive,2,
brick,building ruins school projects,1,
brick,cage enrichment,3,
brick,smoker,1.4,
brick,sole for shoe,2,
brick,check if straight,2,
brick,stuff fabric to make doll,3,
brick,skateboard ramp,2,
brick,boundary marker,1,
brick,cellphone stand,2,
brick,build retaining wall,1,
brick,molding,1,
brick,step reaching high,1,
brick,increase bed,1.7,
brick,print paints,2,
brick,paint brush,3,
brick,chalkboard,3,
brick,door leg,1,
brick,pressing tofu cheese,3,
brick,impromptu trivet,2,
brick,rolling pin,3,
brick,door knock,1,
brick,pathway pavement,1,
brick,higher education university,3,
brick,keystone,2,
brick,paint place decoration,2,
brick,seats cushioning,1.7,
brick,driveways,1,
brick,wall anchor,1,
brick,hiding place for key,3,
brick,fire starter,1.5,
brick,outdoor kitchen,1,
brick,defensive wall,1,
brick,firewood holder,2,
brick,buikd,1,
brick,brickbuilt bookshelf,2,
brick,weight support against rolling,1,
brick,close gap,1,
brick,make seat,1,
brick,well cover,1,
brick,create blocks,1,
brick,hollow out into container,3,
brick,hand warmer,2,
brick,cell phone stand,2,
brick,drown,2,
brick,plant stand,2,
brick,rain,1,
brick,dollhouse,3,
brick,personify as human,3,
brick,colors paints,2,
brick,curd storage,3,
brick,mailboxbase,1,
brick,plant holder,1.5,
brick,artwork,2,
brick,picture frame support,2,
brick,unconventional pet bowl,3,
brick,bury ,1,
brick,bracelet,2,
brick,"drown, sink in water",2,
brick,build oven,1,
brick,tiling,1,
brick,making outdoor furniture,1,
brick,weight against wind for paper,1,
brick,building castle,1,
brick,paintingdrawing,2,
brick,build birdbath,1,
brick,make side table,2,
brick,gamepiece,2,
brick,mortar,1,
brick,war memorial,1,
brick,book,1,
brick,chair booster,1.7,
brick,fort,1,
brick,photo display,3,
brick,brickbuilt chimney,1,
brick,sidewalk,1,
brick,weapon game,1.7,
brick,rhythm beats,3,
brick,build trap,1,
brick,giant jenga block,3,
brick,computer component,3,
brick,tablecloth weight,2,
brick,pathway paver,1,
brick,ping pong bat,3,
brick,paper mache,2,
brick,traffic,1,
brick,compost bin base,2.5,
brick,unusual planter,2,
brick,fermentation weight,3,
brick,making patterns,2,
brick,jewelry display stand,3,
brick,foot scraper,2,
brick,shingle,2,
brick,wine cellar,2,
brick,crush garlic,3,
brick,unpack,1.4,
brick,decorative bookshelf,2,
brick,raised beds vegetables,1,
brick,pot stand,1.5,
brick,primitive tool,1,
brick,rectangle stencil for outline,3,
brick,hood ornament,3,
brick,paving,1,
brick,heat to fry egg,2,
brick,balance,1,
brick,makeshift trivet,2,
brick,aquarium decoration,3,
brick,building chimneys,1,
brick,ice cream,1.4,
brick,letter organizer,3,
brick,bread baker,3,
brick,stamp,2,
brick,cannon ball,2,
brick,insect home,3,
brick,personify as doll,3,
brick,punching bag,2,
brick,intimidate/threaten,1,
brick,furniture making,1,
brick,rustic coaster,2,
brick,abacus,4,
brick,anchoring balloon,2,
brick,sidewalk chalk drawing,3,
brick,mini shelf,2,
brick,play game toy,2,
brick,weight against dog escape,1.7,
brick,umbrella holder,2,
brick,repair,1,
brick,fire circle,1,
brick,fire safety,1,
brick,yoga weight,2,
brick,dig holeburrow,1,
brick,weight against wind,1,
brick,painting easter eggs,3,
brick,brickandmortar concert hall,2,
brick,throw in anger,1,
brick,fireplace decor,1,
brick,foot stool,1.7,
brick,weight to prevent slipping,1,
brick,gold,2,
brick,wall hanger,2,
brick,pet chew toy,3,
brick,edging flower beds,1,
brick,make smaller,1,
brick,help remove car wheels in snow,2,
brick,paper weight,1,
brick,campfire demarcation,2,
brick,painting canvas,2,
brick,anchoring tent,1.5,
brick,brickbuilt oven,1,
brick,abstract art,3,
brick,build staircase,1,
brick,decorative accents,2,
brick,cold frame gardening,2,
brick,solar clock,3,
brick,garden path marker,1,
brick,toy block,1,
brick,doorstop,1,
brick,build skyscraper,1,
brick,letter holder,2,
brick,bottle stopper,3,
brick,paving stones,1,
brick,bang on wall,1,
brick,stepping stone path,1,
brick,yoga,2,
brick,carve message,2,
brick,bury in garden,1,
brick,weight training,1,
brick,shelf,1.7,
brick,learn geometry,2,
brick,heat therapy,3,
brick,canvas paint,2,
brick,compass,3,
brick,voting booth,3,
brick,badminton,1.4,
brick,bbq base,1.5,
brick,decorative exterior,1,
brick,threat,1,
brick,brown color,1,
brick,tombstone,1,
brick,elevation plant pots,2,
brick,pack,1,
brick,bat,2,
brick,building ruins models,1,
brick,sun protection,2,
brick,cooking weight,2,
brick,juice,1.4,
brick,calibration weight,2,
brick,ring,2,
brick,dice,3,
brick,decorative garden path,1,
brick,hide key,2,
brick,piano,3,
brick,wine rack,3,
brick,break stuff,1,
brick,water fountain base,2,
brick,art ,2,
brick,terrace,1,
brick,measuring point,2,
brick,pot plants stands,2,
brick,make heavy,1,
brick,build dam,1,
brick,mural,2,
brick,mop,2,
brick,bulletproofing,1,
brick,building furniture,1,
brick,making garage,1,
brick,building stairs,1,
brick,hide game,2,
brick,university,1,
brick,brake weight for car,1,
brick,tactile test experiment,3,
brick,flats,1,
brick,stamp ,2,
brick,making bridge,1,
brick,creating garden paths,1,
brick,temporary driveway marker,1,
brick,simile,2,
brick,throwing object,1,
brick,build climbing frame,1,
brick,pie weight,2,
brick,paving stone,1,
brick,architect,1,
brick,scratch,2,
brick,make cellar,1,
brick,drill press base,3,
brick,educating children on volume of shapes,3,
brick,barbell,1.5,
brick,art work,2,
brick,decorative border,1,
brick,projects,1,
brick,wall,1,
brick,object chess,3,
brick,paperweight set,1,
brick,booster,2,
brick,brickandmortar theater,2,
brick,weight against wind for blanket,1.7,
brick,smash and flatten,1,
brick,antiburglar weapon,1,
brick,boot scraper,2,
brick,face mask,3,
brick,build walkway,1,
brick,break to make mosaic,2,
brick,plant hanger,2,
brick,temporary car jack support,2,
brick,oven floor protector,2,
brick,"fireplace, warmer",1,
brick,reduce available space,1,
brick,"block pets, fence boundary",1,
brick,wall material,1,
brick,window deterrent,1,
brick,benchmark,2,
brick,bomb,2,
brick,hot massage,3,
brick,lifting weights,1,
brick,weight distributor,1.5,
brick,chalk,2,
brick,weightlifting,1.5,
brick,fashion accessory,2,
brick,garden marker,2,
brick,smash cocaine,2,
brick,outdoor grill,2,
brick,sell,1,
brick,brickandmortar apartment building,1,
brick,make partitions,1,
brick,sponge for showering,3,
brick,unconscious in anasthesia,3,
brick,columns,1,
brick,decor,1.5,
brick,post apocalyptic currency,3,
brick,stop door,1,
brick,flowerpot,2,
brick,write on stone,1,
brick,make clay,2,
brick,deskorganizer,2,
brick,scratching cars,2,
brick,art canvas,3,
brick,primary school,1,
brick,elevation furniture,1,
brick,chop soil,2,
brick,ornament,2,
brick,build fire pit,1,
brick,table,1.7,
brick,ruler,3,
brick,open safe,2,
brick,weight for sail,2,
brick,running weight challenge,2,
brick,modern art,2,
brick,telescope,3,
brick,paper sheet,2,
brick,sculptural element,2,
brick,signpost,1,
brick,sharpen knife,3,
brick,decorative bookshelf support,2,
brick,lamp,2,
brick,block leakage,2,
brick,decorative garden step,1,
brick,grill riser,2,
brick,break glass in emergency ,1,
brick,outdoor tables,1.7,
brick,walkway edging,1,
brick,raised vegetable garden,1.7,
brick,memory of a mountain,3,
brick,splash generator,3,
brick,filing teeth,3,
brick,stencil for shape outline,3,
brick,trap/block ants,2,
brick,destroy floor,1,
brick,crane weight,1,
brick,outdoor seating,1,
brick,break glass window,1,
brick,robot,3,
brick,structural decoration,1,
brick,fitness,1,
brick,kill mosquito,2,
brick,vegetable planter,2,
brick,building block toy,2,
brick,garden bed,1,
brick,build,1,
brick,break glass,1,
brick,fight,1,
brick,chesspiece,3,
brick,path edging,1,
brick,piggy bank,3,
brick,life,1,
brick,window opener,1,
brick,tool breaking,1,
brick,marker,2,
brick,making sidewalk,1,
brick,paper decoration,2,
brick,build street,1,
brick,outdoor game,2,
brick,grill raiser,2,
brick,dark,1,
brick,sculpture,2,
brick,jump over ,2,
brick,play area edging,1,
brick,patio decoration,1,
brick,coaster,2,
brick,keychains,2,
brick,beehive base,3,
brick,windshield,1.7,
brick,mobile phone,3,
brick,tie feet to make stilts,2,
brick,cup song,3,
brick,tiles mosaics,2,
brick,skippingstone,2,
brick,barbeques,2,
brick,sculpture base,2,
brick,fake nails,3,
brick,ornamental inlay,2,
brick,compost bin,3,
brick,manslaughter,1,
brick,stepping stone mold,1.5,
brick,garden path maker,1,
brick,photo frame support,2,
brick,outdoor sculpture,2,
brick,flower bed edging,1.5,
brick,increase,1,
brick,time capsule,3,
brick,break into stones,1,
brick,barbecue grill,2,
brick,steampunk decoration,2.5,
brick,decorate fireplace,1,
brick,makeshift weapon,1,
brick,make chair,1,
brick,crack nuts,2,
brick,fake extra volume,2,
brick,sleeping,1.4,
brick,house exterior,1,
brick,building chimney,1,
brick,build fountain,1,
brick,statue,2,
brick,pet bed,3,
brick,countwrite,1.4,
brick,pavements,1,
brick,laying street,1,
brick,edging flowerbeds,1,
brick,spell words,2,
brick,smashing s head,1,
brick,siding,1,
brick,window security,1,
brick,song beats,3,
brick,lift and carry items,1,
brick,play football,1.5,
brick,tables,1.7,
brick,bookkeeping,2,
brick,paper layer,1,
brick,impromptu stool,1.5,
brick,exchange,1,
brick,knowledge,2,
brick,fire pit,1,
brick,hard seat support,2,
brick,measurement,2,
brick,handball,2,
brick,rustic photo frame,3,
brick,weight support against rolling down a slope,1,
brick,view with different light,2,
brick,throwing window,1,
brick,weapon selfdefense,1,
brick,fireplace hearth,1,
brick,make tables higher,1.7,
