"VF-response_id","participant_fk","stimulus_fk","starttime","endtime","response"
"42336","2658","1","1612271970596","1612271973395","kip"
"42337","2658","1","1612271973395","1612271974037","koe"
"42338","2658","1","1612271974037","1612271975259","varken"
"42339","2658","1","1612271975259","1612271976154","schaap"
"42340","2658","1","1612271976154","1612271979136","geit"
"42341","2658","1","1612271979136","1612271982713","hamster"
"42342","2658","1","1612271982713","1612271983878","vacia"
"42343","2658","1","1612271983878","1612271988665","cavia"
"42344","2658","1","1612271988665","1612271993710","gekko"
"42345","2658","1","1612271993710","1612271995185","slang"
"42346","2658","1","1612271995185","1612271997418","krokodil"
"42347","2658","1","1612271997418","1612272006610","parkiet"
"42348","2658","1","1612272006610","1612272010460","papegaai"
"42349","2658","1","1612272010460","1612272015696","ekster"
"42350","2658","1","1612272015696","1612272018247","meeuw"
"42351","2658","1","1612272018247","1612272032498","rog"
"42352","2658","1","1612272032498","1612272033896","haai"
"42353","2658","1","1612272033896","1612272037494","goudvis"
"42354","2658","1","1612272037494","1612272041619","inktvis"
"42355","2660","1","1612274339273","1612274344953","kat"
"42356","2660","1","1612274344953","1612274346896","hond"
"42357","2660","1","1612274346896","1612274351059","vleermuis"
"42358","2660","1","1612274351059","1612274352188","muis"
"42359","2660","1","1612274352188","1612274355793","konijn"
"42360","2660","1","1612274355793","1612274356884","kip"
"42361","2660","1","1612274356884","1612274358134","koe"
"42362","2660","1","1612274358134","1612274362844","hamster"
"42363","2660","1","1612274362844","1612274373644","koala"
"42364","2660","1","1612274373644","1612274374912","panda"
"42365","2660","1","1612274374912","1612274376969","tijger"
"42366","2660","1","1612274376969","1612274378247","leeuw"
"42367","2660","1","1612274378247","1612274381444","cheeta"
"42368","2660","1","1612274381444","1612274383165","uil"
"42369","2660","1","1612274383165","1612274386361","valk"
"42370","2660","1","1612274386361","1612274390499","jaguar"
"42371","2660","1","1612274390499","1612274395520","arend"
"42372","2660","1","1612274395520","1612274410744","rat"
"42373","2660","1","1612274410744","1612274415841","beer"
"42374","2660","1","1612274415841","1612274417783","ijsbeer"
"42375","2660","1","1612274417783","1612274418863","vos"
"42376","2660","1","1612274418863","1612274419965","wolf"
"42377","2660","1","1612274419965","1612274426758","pauw"
"42378","2660","1","1612274426758","1612274430623","chimpanzee"
"42379","2660","1","1612274430623","1612274439858","ringstaartmaki"
"42380","2660","1","1612274439858","1612274449161","mensaap"
"42381","2660","1","1612274449161","1612274453724","gorilla"
"42382","2661","1","1612274845165","1612274851983","koe"
"42383","2661","1","1612274851983","1612274853911","ezek"
"42384","2661","1","1612274853911","1612274855384","paard"
"42385","2661","1","1612274855384","1612274856486","kip"
"42386","2661","1","1612274856486","1612274857726","varken"
"42387","2661","1","1612274857726","1612274859060","olifant"
"42388","2661","1","1612274859060","1612274859853","hond"
"42389","2661","1","1612274859853","1612274861177","kat"
"42390","2661","1","1612274861177","1612274862490","hamster"
"42391","2661","1","1612274862490","1612274863879","konijn"
"42392","2661","1","1612274863879","1612274865066","giraf"
"42393","2661","1","1612274865066","1612274865948","leeuw"
"42394","2661","1","1612274865948","1612274868450","vogel"
"42395","2661","1","1612274868450","1612274872349","slang"
"42396","2661","1","1612274872349","1612274874509","haai"
"42397","2661","1","1612274874509","1612274876424","dolfijn"
"42398","2661","1","1612274876424","1612274880645","goudvis"
"42399","2661","1","1612274880645","1612274883035","zwijn"
"42400","2661","1","1612274883035","1612274883762","hert"
"42401","2661","1","1612274883762","1612274886651","mug"
"42402","2661","1","1612274886651","1612274891680","lieveheersbeestje"
"42403","2661","1","1612274891680","1612274892570","kever"
"42404","2661","1","1612274892570","1612274893504","krekel"
"42405","2661","1","1612274893504","1612274901552","lama"
"42406","2661","1","1612274901552","1612274909659","schildpad"
"42407","2661","1","1612274909659","1612274911151","leguaan"
"42408","2661","1","1612274911151","1612274912723","varaan"
"42409","2661","1","1612274912723","1612274921287","gorilla"
"42410","2661","1","1612274921287","1612274925828","orang oetan"
"42411","2661","1","1612274925828","1612274932703","mier"
"42412","2661","1","1612274932703","1612274937884","arend"
"42413","2661","1","1612274937884","1612274940563","kraai"
"42414","2661","1","1612274940563","1612274957753","bizon"
"42415","2661","1","1612274957753","1612274959805","nijlpaard"
"42416","2662","1","1612275522110","1612275527990","hond"
"42417","2662","1","1612275527990","1612275529076","kat"
"42418","2662","1","1612275529076","1612275531868","tijger"
"42419","2662","1","1612275531868","1612275533445","zebra"
"42420","2662","1","1612275533445","1612275534903","hamster"
"42421","2662","1","1612275534903","1612275536421","leeuw"
"42422","2662","1","1612275536421","1612275540705","konijn"
"42423","2662","1","1612275540705","1612275542252","haas"
"42424","2662","1","1612275542252","1612275549163","vogel"
"42425","2662","1","1612275549163","1612275554759","vogelbekdier"
"42426","2662","1","1612275554759","1612275559734","chitta"
"42427","2662","1","1612275559734","1612275567936","das"
"42428","2662","1","1612275567936","1612275569355","otter"
"42429","2662","1","1612275569355","1612275572702","haai"
"42430","2662","1","1612275572702","1612275577177","zeeleeuw"
"42431","2662","1","1612275577177","1612275578526","walvis"
"42432","2662","1","1612275578526","1612275581160","vinvis"
"42433","2662","1","1612275581160","1612275586198","dolfijn"
"42434","2662","1","1612275586198","1612275594165","zeehond"
"42435","2662","1","1612275594165","1612275603436","aap"
"42436","2662","1","1612275603436","1612275608164","luiaard"
"42437","2662","1","1612275608164","1612275618880","slang"
"42438","2662","1","1612275618880","1612275622279","hagedis"
"42439","2664","1","1612278127730","1612278131011","Paard"
"42440","2664","1","1612278131011","1612278132641","Leeuw"
"42441","2664","1","1612278132641","1612278134185","Tijger"
"42442","2664","1","1612278134185","1612278135102","kat"
"42443","2664","1","1612278135102","1612278136791","Hond"
"42444","2664","1","1612278136791","1612278140381","salamander"
"42445","2664","1","1612278140381","1612278142079","mier"
"42446","2664","1","1612278142079","1612278146913","vlinder"
"42447","2664","1","1612278146913","1612278148486","rups"
"42448","2664","1","1612278148486","1612278154695","Giraffe"
"42449","2664","1","1612278154695","1612278157551","Neushoorn"
"42450","2664","1","1612278157551","1612278161191","Olifant"
"42451","2664","1","1612278161191","1612278163769","Koe"
"42452","2664","1","1612278163769","1612278165477","Tapir"
"42453","2664","1","1612278165477","1612278169949","Stokstaartje"
"42454","2664","1","1612278169949","1612278172294","Zalm"
"42455","2664","1","1612278172294","1612278173889","Makreel"
"42456","2664","1","1612278173889","1612278175379","Karper"
"42457","2664","1","1612278175379","1612278176846","Haai"
"42458","2664","1","1612278176846","1612278179670","Kwal"
"42459","2664","1","1612278179670","1612278182105","Krab"
"42460","2664","1","1612278182105","1612278185980","Garnaal"
"42461","2664","1","1612278185980","1612278191933","Clownsvis"
"42462","2664","1","1612278191933","1612278197377","Rat"
"42463","2664","1","1612278197377","1612278199117","Muis"
"42464","2664","1","1612278199117","1612278200813","Cavia"
"42465","2664","1","1612278200813","1612278205811","Hamster"
"42466","2664","1","1612278205811","1612278207149","Gekko"
"42467","2664","1","1612278207149","1612278210086","Spin"
"42468","2664","1","1612278210086","1612278224199","Zebra"
"42469","2664","1","1612278224199","1612278226454","Gazelle"
"42470","2664","1","1612278226454","1612278239525","Slang"
"42471","2665","1","1612279186222","1612279198096","Hond"
"42472","2665","1","1612279198096","1612279199879","kat"
"42473","2665","1","1612279199879","1612279201705","duif"
"42474","2665","1","1612279201705","1612279204201","kanari"
"42475","2665","1","1612279204201","1612279205387","poes"
"42476","2665","1","1612279205387","1612279207295","hamster"
"42477","2665","1","1612279207295","1612279211670","zebra"
"42478","2665","1","1612279211670","1612279213020","uil"
"42479","2665","1","1612279213020","1612279214267","spin"
"42480","2665","1","1612279214267","1612279216320","rups"
"42481","2665","1","1612279216320","1612279221820","slang"
"42482","2665","1","1612279221820","1612279224577","neushorn"
"42483","2665","1","1612279224577","1612279227995","neusaap"
"42484","2665","1","1612279227995","1612279230769","teek"
"42485","2665","1","1612279230769","1612279238894","wandelende tak"
"42486","2665","1","1612279238894","1612279242036","luiaard"
"42487","2665","1","1612279242036","1612279249049","lieve heersbeestje"
"42488","2665","1","1612279249049","1612279253098","oorwurm"
"42489","2665","1","1612279253098","1612279255610","worm"
"42490","2665","1","1612279255610","1612279260275","leeuw"
"42491","2665","1","1612279260275","1612279263725","limmerik"
"42492","2665","1","1612279263725","1612279270417","koala"
"42493","2665","1","1612279270417","1612279277833","hert"
"42494","2665","1","1612279277833","1612279280950","vos"
"42495","2665","1","1612279280950","1612279283900","mier"
"42496","2665","1","1612279283900","1612279292983","Tijger"
"42497","2665","1","1612279292983","1612279297749","krokodil"
"42498","2665","1","1612279297749","1612279299357","vis"
"42499","2665","1","1612279299357","1612279302432","muis"
"42500","2665","1","1612279302432","1612279304107","rat"
"42501","2667","1","1612280357611","1612280360922","aap"
"42502","2667","1","1612280360922","1612280363190","konijn"
"42503","2667","1","1612280363190","1612280364382","kat"
"42504","2667","1","1612280364382","1612280365851","hond"
"42505","2667","1","1612280365851","1612280368079","olifant"
"42506","2667","1","1612280368079","1612280370312","dolfijn"
"42507","2667","1","1612280370312","1612280372032","vogel"
"42508","2667","1","1612280372032","1612280375236","vleermuis"
"42509","2667","1","1612280375236","1612280378379","muis"
"42510","2667","1","1612280378379","1612280383031","pissebed"
"42511","2667","1","1612280383031","1612280385521","mug"
"42512","2667","1","1612280385521","1612280386959","bei"
"42513","2667","1","1612280386959","1612280391381","vlieg"
"42514","2667","1","1612280391381","1612280393036","giraf"
"42515","2667","1","1612280393036","1612280397602","pinguin"
"42516","2667","1","1612280397602","1612280399010","ijsbeer"
"42517","2667","1","1612280399010","1612280402889","gorilla"
"42518","2667","1","1612280402889","1612280406766","chimpansee"
"42519","2667","1","1612280406766","1612280407944","vis"
"42520","2667","1","1612280407944","1612280410770","haai"
"42521","2667","1","1612280410770","1612280413943","rog"
"42522","2667","1","1612280413943","1612280423575","flamingo"
"42523","2667","1","1612280423575","1612280424792","pauw"
"42524","2667","1","1612280424792","1612280426663","geit"
"42525","2667","1","1612280426663","1612280427740","koe"
"42526","2667","1","1612280427740","1612280430722","varken"
"42527","2667","1","1612280430722","1612280433649","schaap"
"42528","2667","1","1612280433649","1612280438093","inktvis"
"42529","2667","1","1612280438093","1612280441863","ooievaar"
"42530","2667","1","1612280441863","1612280443307","eend"
"42531","2667","1","1612280443307","1612280450806","orka"
"42532","2667","1","1612280450806","1612280455203","tijger"
"42533","2667","1","1612280455203","1612280457219","leeuw"
"42534","2667","1","1612280457219","1612280458646","panter"
"42535","2667","1","1612280458646","1612280468415","wandelende tak"
"42536","2668","1","1612280455193","1612280458969","Hond"
"42537","2668","1","1612280458969","1612280460524","kat"
"42538","2668","1","1612280460524","1612280468473","hamster"
"42539","2668","1","1612280468473","1612280471273","goudvis"
"42540","2668","1","1612280471273","1612280473750","slang"
"42541","2668","1","1612280473750","1612280475224","rups"
"42542","2668","1","1612280475224","1612280476816","teek"
"42543","2668","1","1612280476816","1612280479540","spin"
"42544","2668","1","1612280479540","1612280481540","leeuw"
"42545","2668","1","1612280481540","1612280484198","tijger"
"42546","2668","1","1612280484198","1612280487814","rups"
"42547","2668","1","1612280487814","1612280489697","spin"
"42548","2668","1","1612280489697","1612280495579","dromedaris"
"42549","2668","1","1612280495579","1612280501039","luipaard"
"42550","2668","1","1612280501039","1612280503714","luiaard"
"42551","2668","1","1612280503714","1612280507363","draak"
"42552","2668","1","1612280507363","1612280513930","mier"
"42553","2668","1","1612280513930","1612280521954","konijn"
"42554","2668","1","1612280521954","1612280525429","cavia"
"42555","2668","1","1612280525429","1612280532563","jaguar"
"42556","2668","1","1612280532563","1612280559861","Koe"
"42557","2668","1","1612280559861","1612280561595","paard"
"42558","2668","1","1612280561595","1612280563186","schaap"
"42559","2668","1","1612280563186","1612280565225","lammetje"
"42560","2668","1","1612280565225","1612280567561","puppy"
"42561","2668","1","1612280567561","1612280570461","eengans"
"42562","2672","1","1612282951009","1612282955455","hond"
"42563","2672","1","1612282955455","1612282956143","kat"
"42564","2672","1","1612282956143","1612282959210","papegaai"
"42565","2672","1","1612282959210","1612282960989","giraf"
"42566","2672","1","1612282960989","1612282962381","varken"
"42567","2672","1","1612282962381","1612282963005","koe"
"42568","2672","1","1612282963005","1612282963836","kip"
"42569","2672","1","1612282963836","1612282965599","schaap"
"42570","2672","1","1612282965599","1612282966229","geit"
"42571","2672","1","1612282966229","1612282968816","paard"
"42572","2672","1","1612282968816","1612282970584","eend"
"42573","2672","1","1612282970584","1612282972358","gans"
"42574","2672","1","1612282972358","1612282974057","vogel"
"42575","2672","1","1612282974057","1612282976301","luiaard"
"42576","2672","1","1612282976301","1612282977827","luipaard"
"42577","2672","1","1612282977827","1612282981031","cheetah"
"42578","2672","1","1612282981031","1612282982067","leeuw"
"42579","2672","1","1612282982067","1612282983013","tijger"
"42580","2672","1","1612282983013","1612282984723","kanarie"
"42581","2672","1","1612282984723","1612282986104","kolibrie"
"42582","2672","1","1612282986104","1612282989219","pinguin"
"42583","2672","1","1612282989219","1612282990811","vis"
"42584","2672","1","1612282990811","1612282992751","goudvis"
"42585","2672","1","1612282992751","1612282993614","haai"
"42586","2672","1","1612282993614","1612282999501","zwaardvis"
"42587","2672","1","1612282999501","1612283001296","blauwe vinvis"
"42588","2672","1","1612283001296","1612283003269","zeepaardje"
"42589","2672","1","1612283003269","1612283005836","karper"
"42590","2672","1","1612283005836","1612283007992","pirana"
"42591","2672","1","1612283007992","1612283011773","muis"
"42592","2672","1","1612283011773","1612283012558","rat"
"42593","2672","1","1612283012558","1612283013528","mier"
"42594","2672","1","1612283013528","1612283014807","bij"
"42595","2672","1","1612283014807","1612283015729","vlieg"
"42596","2672","1","1612283015729","1612283016794","wesp"
"42597","2672","1","1612283016794","1612283017567","mug"
"42598","2672","1","1612283017567","1612283019211","rups"
"42599","2672","1","1612283019211","1612283020147","vlinder"
"42600","2672","1","1612283020147","1612283022389","ekster"
"42601","2672","1","1612283022389","1612283024395","kraai"
"42602","2672","1","1612283024395","1612283025593","ooievaar"
"42603","2672","1","1612283025593","1612283026260","emoe"
"42604","2672","1","1612283026260","1612283028977","struisvogel"
"42605","2672","1","1612283028977","1612283030094","pauw"
"42606","2672","1","1612283030094","1612283031622","gnoe"
"42607","2672","1","1612283031622","1612283033051","buffel"
"42608","2672","1","1612283033051","1612283034084","olifant"
"42609","2672","1","1612283034084","1612283038805","flamingo"
"42610","2672","1","1612283038805","1612283041234","slang"
"42611","2672","1","1612283041234","1612283043151","ringslang"
"42612","2672","1","1612283043151","1612283044678","ratelslang"
"42613","2672","1","1612283044678","1612283045671","spin"
"42614","2672","1","1612283045671","1612283046633","anaconda"
"42615","2672","1","1612283046633","1612283048416","python"
"42616","2672","1","1612283048416","1612283051176","tarantula"
"42617","2672","1","1612283051176","1612283057798","zwijn"
"42618","2672","1","1612283057798","1612283061004","os"
"42619","2672","1","1612283061004","1612283068491","leguaan"
"42620","2673","1","1612284637157","1612284640300","paard"
"42621","2673","1","1612284640300","1612284641745","hond"
"42622","2673","1","1612284641745","1612284642486","kat"
"42623","2673","1","1612284642486","1612284644277","varken"
"42624","2673","1","1612284644277","1612284646784","vis"
"42625","2673","1","1612284646784","1612284647896","panda"
"42626","2673","1","1612284647896","1612284649052","tijger"
"42627","2673","1","1612284649052","1612284650531","olifant"
"42628","2673","1","1612284650531","1612284654696","pinguin"
"42629","2673","1","1612284654696","1612284657273","walvis"
"42630","2673","1","1612284657273","1612284658685","walrus"
"42631","2673","1","1612284658685","1612284660762","schildpad"
"42632","2673","1","1612284660762","1612284664471","gorilla"
"42633","2673","1","1612284664471","1612284670416","giraffe"
"42634","2673","1","1612284670416","1612284672439","zebra"
"42635","2673","1","1612284672439","1612284676194","hamster"
"42636","2673","1","1612284676194","1612284681452","muis"
"42637","2673","1","1612284681452","1612284683716","rat"
"42638","2673","1","1612284683716","1612284689622","koe"
"42639","2673","1","1612284689622","1612284693060","geit"
"42640","2673","1","1612284693060","1612284695376","lama"
"42641","2673","1","1612284695376","1612284709838","vlieg"
"42642","2673","1","1612284709838","1612284712295","mug"
"42643","2673","1","1612284712295","1612284714578","wesp"
"42644","2673","1","1612284714578","1612284715564","bij"
"42645","2673","1","1612284715564","1612284721239","mier"
"42646","2673","1","1612284721239","1612284726892","zwijn"
"42647","2673","1","1612284726892","1612284733234","slang"
"42648","2673","1","1612284733234","1612284736414","krokodil"
"42649","2673","1","1612284736414","1612284742782","salamander"
"42650","2673","1","1612284742782","1612284749283","luipaard"
"42651","2674","1","1612288079001","1612288087106","Specht"
"42652","2674","1","1612288087106","1612288089700","Leeuw"
"42653","2674","1","1612288089700","1612288092998","Luipaard"
"42654","2674","1","1612288092998","1612288096772","Kraanvogel"
"42655","2674","1","1612288096772","1612288101877","Big"
"42656","2674","1","1612288101877","1612288104504","Paard"
"42657","2674","1","1612288104504","1612288108357","Kip"
"42658","2674","1","1612288108357","1612288114050","Gier"
"42659","2674","1","1612288114050","1612288116350","Adelaar"
"42660","2674","1","1612288116350","1612288119385","Meeuw"
"42661","2674","1","1612288119385","1612288123673","Zeeleeuw"
"42662","2674","1","1612288123673","1612288127547","Pinguin"
"42663","2674","1","1612288127547","1612288133181","Giraffe"
"42664","2674","1","1612288133181","1612288140990","Olifant"
"42665","2674","1","1612288140990","1612288146255","Koe"
"42666","2674","1","1612288146255","1612288151782","Schaap"
"42667","2674","1","1612288151782","1612288165354","Wolf"
"42668","2674","1","1612288165354","1612288169407","Vos"
"42669","2674","1","1612288169407","1612288171310","Konijn"
"42670","2674","1","1612288171310","1612288173176","Panda"
"42671","2674","1","1612288173176","1612288176538","Aap"
"42672","2674","1","1612288176538","1612288191333","Antilope"
"42673","2674","1","1612288191333","1612288193958","Zebra"
"42674","2675","1","1612288831353","1612288833917","hond"
"42675","2675","1","1612288833917","1612288834460","kat"
"42676","2675","1","1612288834460","1612288835555","poes"
"42677","2675","1","1612288835555","1612288836630","tijger"
"42678","2675","1","1612288836630","1612288837354","leeuw"
"42679","2675","1","1612288837354","1612288838892","draak"
"42680","2675","1","1612288838892","1612288840240","eenhoorn"
"42681","2675","1","1612288840240","1612288842472","olifant"
"42682","2675","1","1612288842472","1612288843650","beer"
"42683","2675","1","1612288843650","1612288845473","pad"
"42684","2675","1","1612288845473","1612288846674","kikker"
"42685","2675","1","1612288846674","1612288848782","vis"
"42686","2675","1","1612288848782","1612288849917","paling"
"42687","2675","1","1612288849917","1612288855913","paard"
"42688","2675","1","1612288855913","1612288857346","stier"
"42689","2675","1","1612288857346","1612288859316","koe"
"42690","2675","1","1612288859316","1612288861194","antilope"
"42691","2675","1","1612288861194","1612288863510","zenra"
"42692","2675","1","1612288863510","1612288867363","mensen"
"42693","2675","1","1612288867363","1612288871465","apen"
"42694","2675","1","1612288871465","1612288873512","gorillas"
"42695","2675","1","1612288873512","1612288878931","hond"
"42696","2675","1","1612288878931","1612288883310","vogel"
"42697","2675","1","1612288883310","1612288884251","parkiet"
"42698","2675","1","1612288884251","1612288886210","valk"
"42699","2675","1","1612288886210","1612288887041","uil"
"42700","2675","1","1612288887041","1612288887927","gier"
"42701","2675","1","1612288887927","1612288891704","bever"
"42702","2675","1","1612288891704","1612288892581","kever"
"42703","2675","1","1612288892581","1612288894857","mug"
"42704","2675","1","1612288894857","1612288895704","mier"
"42705","2675","1","1612288895704","1612288897291","insect"
"42706","2675","1","1612288897291","1612288900299","vlieg"
"42707","2675","1","1612288900299","1612288904473","vlooi"
"42708","2675","1","1612288904473","1612288909057","nijlpaard"
"42709","2675","1","1612288909057","1612288910189","maki"
"42710","2675","1","1612288910189","1612288913320","slang"
"42711","2675","1","1612288913320","1612288914060","cobra"
"42712","2675","1","1612288914060","1612288915677","viper"
"42713","2675","1","1612288915677","1612288920894","gifslang"
"42714","2675","1","1612288920894","1612288926171","bij"
"42715","2675","1","1612288926171","1612288926919","wesp"
"42716","2675","1","1612288926919","1612288929390","hommel"
"42717","2675","1","1612288929390","1612288934574","zebra"
"42718","2675","1","1612288934574","1612288942810","konijn"
"42719","2675","1","1612288942810","1612288943462","haas"
"42720","2675","1","1612288943462","1612288947154","hamster"
"42721","2675","1","1612288947154","1612288949848","cavia"
"42722","2676","1","1612289326269","1612289331633","hond"
"42723","2676","1","1612289331633","1612289332650","kat"
"42724","2676","1","1612289332650","1612289334353","paard"
"42725","2676","1","1612289334353","1612289335361","slang"
"42726","2676","1","1612289335361","1612289337003","krokodil"
"42727","2676","1","1612289337003","1612289338511","giraffe"
"42728","2676","1","1612289338511","1612289340264","olifant"
"42729","2676","1","1612289340264","1612289343854","kaaiman"
"42730","2676","1","1612289343854","1612289346873","sprinkhaan"
"42731","2676","1","1612289346873","1612289351484","lieveheerstbeestje"
"42732","2676","1","1612289351484","1612289353753","spin"
"42733","2676","1","1612289353753","1612289355051","slak"
"42734","2676","1","1612289355051","1612289360597","cavia"
"42735","2676","1","1612289360597","1612289361599","rat "
"42736","2676","1","1612289361599","1612289362574","muis"
"42737","2676","1","1612289362574","1612289364434","aap"
"42738","2676","1","1612289364434","1612289367444","vogelbekdier"
"42739","2676","1","1612289367444","1612289371068","leeuw"
"42740","2676","1","1612289371068","1612289372308","panter"
"42741","2676","1","1612289372308","1612289374313","wolf"
"42742","2676","1","1612289374313","1612289377220","konijn"
"42743","2676","1","1612289377220","1612289380131","schaap"
"42744","2676","1","1612289380131","1612289382433","koe"
"42745","2676","1","1612289382433","1612289384506","geit"
"42746","2676","1","1612289384506","1612289389217","ram"
"42747","2676","1","1612289389217","1612289402366","vlinder"
"42748","2676","1","1612289402366","1612289405069","walrus"
"42749","2676","1","1612289405069","1612289406396","dolfijn"
"42750","2676","1","1612289406396","1612289408899","haai"
"42751","2676","1","1612289408899","1612289413354","orka"
"42752","2676","1","1612289413354","1612289421152","zilvervis"
"42753","2676","1","1612289421152","1612289428156","krekel"
"42754","2676","1","1612289428156","1612289434470","vlieg"
"42755","2676","1","1612289434470","1612289436167","mus"
"42756","2676","1","1612289436167","1612289443769","bij"
"42757","2677","1","1612291876950","1612291880788","hond"
"42758","2677","1","1612291880788","1612291881656","kat"
"42759","2677","1","1612291881656","1612291882356","vis"
"42760","2677","1","1612291882356","1612291884876","koe"
"42761","2677","1","1612291884876","1612291886214","kip"
"42762","2677","1","1612291886214","1612291887439","kuiken"
"42763","2677","1","1612291887439","1612291889248","salamander"
"42764","2677","1","1612291889248","1612291890550","olifant"
"42765","2677","1","1612291890550","1612291891770","giraffe"
"42766","2677","1","1612291891770","1612291893094","gorilla"
"42767","2677","1","1612291893094","1612291894886","aap"
"42768","2677","1","1612291894886","1612291897550","oerang oetang"
"42769","2677","1","1612291897550","1612291899387","vis"
"42770","2677","1","1612291899387","1612291900499","goudvis"
"42771","2677","1","1612291900499","1612291903005","vogel"
"42772","2677","1","1612291903005","1612291905436","neushoorn"
"42773","2677","1","1612291905436","1612291906696","zebra"
"42774","2677","1","1612291906696","1612291908905","leeuw"
"42775","2677","1","1612291908905","1612291910320","tijger"
"42776","2677","1","1612291910320","1612291911731","kikker"
"42777","2677","1","1612291911731","1612291914630","eend"
"42778","2677","1","1612291914630","1612291917093","haan"
"42779","2677","1","1612291917093","1612291920407","slang"
"42780","2677","1","1612291920407","1612291922387","kever"
"42781","2677","1","1612291922387","1612291927225","lieveheersbeestje"
"42782","2677","1","1612291927225","1612291930221","mier"
"42783","2677","1","1612291930221","1612291932035","vlinder"
"42784","2677","1","1612291932035","1612291933256","libelle"
"42785","2677","1","1612291933256","1612291937155","rat"
"42786","2677","1","1612291937155","1612291938161","muis"
"42787","2677","1","1612291938161","1612291939701","konijn"
"42788","2677","1","1612291939701","1612291940599","cavia"
"42789","2677","1","1612291940599","1612291942414","chincilla"
"42790","2677","1","1612291942414","1612291947518","duif"
"42791","2677","1","1612291947518","1612291950062","papegaai"
"42792","2677","1","1612291950062","1612291956205","paard"
"42793","2677","1","1612291956205","1612291966535","rups"
"42794","2677","1","1612291966535","1612291968032","beer"
"42795","2677","1","1612291968032","1612291970059","ijsbeer"
"42796","2677","1","1612291970059","1612291971912","pinguin"
"42797","2677","1","1612291971912","1612291973643","zeehond"
"42798","2677","1","1612291973643","1612291975903","zeeleeuw"
"42799","2677","1","1612291975903","1612291977766","mus"
"42800","2677","1","1612291977766","1612291983730","panda"
"42801","2677","1","1612291983730","1612291990150","gazelle"
"42802","2677","1","1612291990150","1612291992281","rendier"
"42803","2677","1","1612291992281","1612291993497","hert"
"42804","2677","1","1612291993497","1612291994942","bok"
"42805","2677","1","1612291994942","1612291996289","geit"
"42806","2678","1","1612294832435","1612294886617","otter, kikker, vogel, kip, ezel, neushoorn, varken, konijn, cavia"
"42807","2678","1","1612294886617","1612294911244","papegaai"
"42808","2678","1","1612294911244","1612294924300","olifant"
"42809","2678","1","1612294924300","1612294929813","leeuw"
"42810","2678","1","1612294929813","1612294934983","spin"
"42811","2678","1","1612294934983","1612294937407","vis"
"42812","2678","1","1612294937407","1612294944931","meeuw"
"42813","2678","1","1612294944931","1612294948138","bever"
"42814","2678","1","1612294948138","1612294951722","kameel"
"42815","2679","1","1612297619540","1612297629348","kat"
"42816","2679","1","1612297629348","1612297631089","hond"
"42817","2679","1","1612297631089","1612297633134","ezel"
"42818","2679","1","1612297633134","1612297635731","olifant"
"42819","2679","1","1612297635731","1612297639281","rups"
"42820","2679","1","1612297639281","1612297640745","kameel"
"42821","2679","1","1612297640745","1612297643145","leeuw"
"42822","2679","1","1612297643145","1612297645571","wasbeer"
"42823","2679","1","1612297645571","1612297647892","ijsbeer"
"42824","2679","1","1612297647892","1612297650808","koalabeer"
"42825","2679","1","1612297650808","1612297653397","toekan"
